age_months,sex,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8
66,1,-0.8554,15.2645,0.08516,11.21,12.115,13.021,14.06,15.264,16.676,18.35,20.365,22.38,24.337,27.001,29.665,32.329
67,1,-0.8785,15.2684,0.08543,11.213,12.117,13.021,14.061,15.268,16.686,18.374,20.413,22.452,24.448,27.151,29.854,32.557
68,1,-0.9015,15.2737,0.0857,11.218,12.121,13.023,14.063,15.274,16.699,18.399,20.463,22.526,24.561,27.303,30.045,32.787
69,1,-0.9243,15.2801,0.08597,11.223,12.125,13.026,14.067,15.28,16.712,18.427,20.515,22.604,24.678,27.461,30.244,33.027
70,1,-0.9471,15.2877,0.08625,11.228,12.129,13.03,14.071,15.288,16.727,18.456,20.571,22.685,24.798,27.623,30.448,33.273
71,1,-0.9697,15.2965,0.08653,11.235,12.135,13.035,14.077,15.296,16.743,18.487,20.628,22.77,24.917,27.783,30.649,33.515
72,1,-0.9921,15.3062,0.08682,11.242,12.141,13.04,14.083,15.306,16.761,18.52,20.689,22.858,25.042,27.951,30.86,33.769
73,1,-1.0144,15.3169,0.08711,11.249,12.148,13.047,14.09,15.317,16.78,18.554,20.751,22.948,25.17,28.123,31.076,34.029
74,1,-1.0365,15.3285,0.08741,11.257,12.155,13.053,14.098,15.328,16.799,18.589,20.816,23.043,25.301,28.299,31.297,34.295
75,1,-1.0584,15.3408,0.08771,11.265,12.163,13.061,14.107,15.341,16.82,18.626,20.883,23.139,25.435,28.479,31.523,34.567
76,1,-1.0801,15.354,0.08802,11.274,12.171,13.069,14.116,15.354,16.842,18.665,20.952,23.24,25.571,28.661,31.751,34.841
77,1,-1.1017,15.3679,0.08833,11.283,12.18,13.077,14.126,15.368,16.864,18.704,21.023,23.343,25.712,28.85,31.988,35.126
78,1,-1.123,15.3825,0.08865,11.292,12.189,13.086,14.136,15.382,16.888,18.745,21.097,23.449,25.854,29.04,32.226,35.412
79,1,-1.1441,15.3978,0.08898,11.301,12.198,13.095,14.147,15.398,16.913,18.788,21.174,23.559,26.003,29.24,32.477,35.714
80,1,-1.1649,15.4137,0.08931,11.311,12.208,13.105,14.158,15.414,16.938,18.831,21.251,23.672,26.15,29.436,32.722,36.008
81,1,-1.1856,15.4302,0.08964,11.321,12.218,13.115,14.17,15.43,16.964,18.876,21.331,23.786,26.304,29.642,32.98,36.318
82,1,-1.206,15.4473,0.08998,11.331,12.228,13.126,14.183,15.447,16.991,18.922,21.413,23.905,26.462,29.853,33.244,36.635
83,1,-1.2261,15.465,0.09033,11.341,12.239,13.136,14.195,15.465,17.019,18.969,21.498,24.027,26.622,30.066,33.51,36.954
84,1,-1.246,15.4832,0.09068,11.351,12.25,13.148,14.209,15.483,17.047,19.017,21.584,24.152,26.785,30.283,33.781,37.279
85,1,-1.2656,15.5019,0.09103,11.362,12.261,13.159,14.222,15.502,17.076,19.066,21.672,24.279,26.953,30.507,34.061,37.615
86,1,-1.2849,15.521,0.09139,11.373,12.272,13.171,14.236,15.521,17.106,19.116,21.763,24.409,27.121,30.73,34.339,37.948
87,1,-1.304,15.5407,0.09176,11.384,12.283,13.183,14.25,15.541,17.136,19.168,21.856,24.544,27.295,30.961,34.627,38.293
88,1,-1.3228,15.5608,0.09213,11.395,12.295,13.195,14.265,15.561,17.167,19.22,21.95,24.681,27.475,31.201,34.927,38.653
89,1,-1.3414,15.5814,0.09251,11.406,12.307,13.208,14.28,15.581,17.199,19.274,22.048,24.822,27.653,31.437,35.221,39.005
90,1,-1.3596,15.6023,0.09289,11.417,12.319,13.221,14.295,15.602,17.231,19.328,22.147,24.966,27.839,31.684,35.529,39.374
91,1,-1.3776,15.6237,0.09327,11.428,12.331,13.234,14.311,15.624,17.264,19.383,22.247,25.112,28.024,31.929,35.834,39.739
92,1,-1.3953,15.6455,0.09366,11.44,12.343,13.247,14.327,15.646,17.297,19.44,22.351,25.262,28.211,32.176,36.141,40.106
93,1,-1.4126,15.6677,0.09406,11.451,12.356,13.26,14.343,15.668,17.331,19.497,22.457,25.416,28.405,32.433,36.461,40.489
94,1,-1.4297,15.6903,0.09445,11.463,12.368,13.274,14.36,15.69,17.366,19.555,22.563,25.571,28.602,32.694,36.786,40.878
95,1,-1.4464,15.7133,0.09486,11.474,12.381,13.288,14.377,15.713,17.401,19.615,22.673,25.732,28.799,32.954,37.109,41.264
96,1,-1.4629,15.7368,0.09526,11.486,12.394,13.302,14.394,15.737,17.437,19.675,22.785,25.895,29.001,33.221,37.441,41.661
97,1,-1.479,15.7606,0.09567,11.498,12.407,13.317,14.412,15.761,17.473,19.736,22.899,26.061,29.202,33.486,37.77,42.054
98,1,-1.4947,15.7848,0.09609,11.51,12.42,13.331,14.429,15.785,17.51,19.798,23.015,26.232,29.409,33.759,38.109,42.459
99,1,-1.5101,15.8094,0.09651,11.521,12.434,13.346,14.447,15.809,17.548,19.862,23.134,26.406,29.616,34.032,38.448,42.864
100,1,-1.5252,15.8344,0.09693,11.534,12.447,13.361,14.466,15.834,17.586,19.926,23.254,26.582,29.828,34.311,38.794,43.277
101,1,-1.5399,15.8597,0.09735,11.546,12.461,13.376,14.484,15.86,17.624,19.99,23.376,26.761,30.042,34.593,39.144,43.695
