age_months,sex,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8
153,2,-1.3413,18.6006,0.13372,12.187,13.494,14.8,16.448,18.601,21.554,25.905,33.083,40.261,40.261,47.439,54.617,61.795
154,2,-1.3341,18.6677,0.13397,12.217,13.531,14.846,16.503,18.668,21.637,26.007,33.204,40.402,40.401,47.598,54.795,61.992
155,2,-1.3269,18.7346,0.13421,12.247,13.569,14.891,16.558,18.735,21.719,26.107,33.322,40.538,40.537,47.752,54.967,62.182
156,2,-1.3195,18.8012,0.13445,12.276,13.606,14.936,16.612,18.801,21.8,26.207,33.439,40.67,40.671,47.903,55.135,62.367
157,2,-1.3121,18.8675,0.13469,12.305,13.643,14.981,16.667,18.868,21.882,26.307,33.554,40.802,40.801,48.048,55.295,62.542
158,2,-1.3046,18.9335,0.13492,12.335,13.68,15.025,16.721,18.934,21.962,26.405,33.666,40.928,40.927,48.188,55.449,62.71
159,2,-1.297,18.9991,0.13514,12.364,13.717,15.07,16.775,18.999,22.042,26.501,33.775,41.048,41.049,48.323,55.597,62.871
160,2,-1.2894,19.0642,0.13537,12.392,13.753,15.113,16.828,19.064,22.122,26.598,33.884,41.171,41.17,48.456,55.742,63.028
161,2,-1.2816,19.1289,0.13559,12.42,13.788,15.157,16.881,19.129,22.201,26.693,33.989,41.286,41.285,48.581,55.877,63.173
162,2,-1.2739,19.1931,0.1358,12.447,13.824,15.2,16.934,19.193,22.279,26.786,34.092,41.397,41.398,48.704,56.01,63.316
163,2,-1.2661,19.2567,0.13601,12.475,13.859,15.243,16.986,19.257,22.357,26.879,34.192,41.506,41.505,48.818,56.131,63.444
164,2,-1.2583,19.3197,0.13622,12.501,13.893,15.285,17.037,19.32,22.433,26.97,34.292,41.614,41.614,48.936,56.258,63.58
165,2,-1.2504,19.382,0.13642,12.528,13.927,15.327,17.088,19.382,22.509,27.06,34.387,41.714,41.714,49.041,56.368,63.695
166,2,-1.2425,19.4437,0.13662,12.554,13.961,15.368,17.139,19.444,22.584,27.149,34.481,41.814,41.813,49.145,56.477,63.809
167,2,-1.2345,19.5045,0.13681,12.579,13.994,15.408,17.188,19.504,22.658,27.235,34.571,41.907,41.907,49.243,56.579,63.915
168,2,-1.2266,19.5647,0.137,12.604,14.026,15.448,17.238,19.565,22.731,27.321,34.66,41.999,41.999,49.338,56.677,64.016
169,2,-1.2186,19.624,0.13719,12.628,14.058,15.488,17.286,19.624,22.803,27.406,34.747,42.088,42.088,49.429,56.77,64.111
170,2,-1.2107,19.6824,0.13738,12.652,14.089,15.526,17.334,19.682,22.874,27.489,34.833,42.176,42.177,49.521,56.865,64.209
171,2,-1.2027,19.74,0.13756,12.675,14.119,15.564,17.38,19.74,22.943,27.57,34.914,42.258,42.258,49.602,56.946,64.29
172,2,-1.1947,19.7966,0.13774,12.697,14.149,15.601,17.427,19.797,23.012,27.65,34.994,42.338,42.338,49.682,57.026,64.37
173,2,-1.1867,19.8523,0.13791,12.719,14.179,15.638,17.472,19.852,23.079,27.727,35.07,42.412,42.413,49.756,57.099,64.442
174,2,-1.1788,19.907,0.13808,12.74,14.207,15.674,17.516,19.907,23.145,27.804,35.145,42.485,42.486,49.827,57.168,64.509
175,2,-1.1708,19.9607,0.13825,12.761,14.235,15.709,17.56,19.961,23.21,27.879,35.217,42.555,42.555,49.893,57.231,64.569
176,2,-1.1629,20.0133,0.13841,12.781,14.262,15.743,17.603,20.013,23.273,27.951,35.286,42.621,42.621,49.956,57.291,64.626
177,2,-1.1549,20.0648,0.13858,12.8,14.288,15.776,17.644,20.065,23.336,28.023,35.354,42.685,42.685,50.016,57.347,64.678
178,2,-1.147,20.1152,0.13873,12.819,14.314,15.809,17.685,20.115,23.396,28.091,35.417,42.743,42.743,50.069,57.395,64.721
179,2,-1.139,20.1644,0.13889,12.836,14.338,15.841,17.725,20.164,23.456,28.159,35.479,42.8,42.799,50.119,57.439,64.759
180,2,-1.1311,20.2125,0.13904,12.853,14.362,15.871,17.764,20.212,23.514,28.224,35.538,42.852,42.852,50.166,57.48,64.794
181,2,-1.1232,20.2595,0.1392,12.869,14.385,15.901,17.802,20.26,23.57,28.289,35.597,42.905,42.905,50.213,57.521,64.829
182,2,-1.1153,20.3053,0.13934,12.885,14.408,15.93,17.839,20.305,23.625,28.35,35.65,42.95,42.95,50.25,57.55,64.85
183,2,-1.1074,20.3499,0.13949,12.9,14.429,15.958,17.874,20.35,23.679,28.411,35.703,42.995,42.995,50.287,57.579,64.871
184,2,-1.0996,20.3934,0.13963,12.914,14.45,15.985,17.909,20.393,23.731,28.469,35.752,43.036,43.035,50.318,57.601,64.884
185,2,-1.0917,20.4357,0.13977,12.927,14.469,16.012,17.943,20.436,23.782,28.525,35.799,43.073,43.073,50.347,57.621,64.895
186,2,-1.0838,20.4769,0.13991,12.94,14.488,16.037,17.976,20.477,23.832,28.58,35.844,43.108,43.108,50.372,57.636,64.9
187,2,-1.076,20.517,0.14005,12.952,14.507,16.062,18.008,20.517,23.88,28.634,35.887,43.141,43.14,50.393,57.646,64.899
188,2,-1.0681,20.556,0.14018,12.963,14.524,16.085,18.039,20.556,23.927,28.684,35.927,43.169,43.17,50.413,57.656,64.899
189,2,-1.0603,20.5938,0.14031,12.973,14.541,16.108,18.069,20.594,23.972,28.734,35.964,43.195,43.194,50.424,57.654,64.884
190,2,-1.0525,20.6306,0.14044,12.983,14.557,16.13,18.098,20.631,24.017,28.782,36.0,43.219,43.218,50.436,57.654,64.872
191,2,-1.0447,20.6663,0.14057,12.992,14.572,16.151,18.126,20.666,24.06,28.828,36.034,43.241,43.24,50.446,57.652,64.858
192,2,-1.0368,20.7008,0.1407,13.0,14.586,16.172,18.153,20.701,24.101,28.873,36.066,43.259,43.259,50.452,57.645,64.838
193,2,-1.029,20.7344,0.14082,13.008,14.6,16.191,18.179,20.734,24.141,28.915,36.094,43.274,43.273,50.452,57.631,64.81
194,2,-1.0212,20.7668,0.14094,13.015,14.613,16.21,18.205,20.767,24.18,28.956,36.121,43.286,43.286,50.451,57.616,64.781
195,2,-1.0134,20.7982,0.14106,13.022,14.625,16.228,18.229,20.798,24.218,28.996,36.146,43.296,43.296,50.446,57.596,64.746
196,2,-1.0055,20.8286,0.14118,13.027,14.636,16.245,18.253,20.829,24.254,29.034,36.169,43.304,43.304,50.439,57.574,64.709
197,2,-0.9977,20.858,0.1413,13.032,14.647,16.261,18.275,20.858,24.29,29.07,36.19,43.31,43.31,50.43,57.55,64.67
198,2,-0.9898,20.8863,0.14142,13.036,14.656,16.277,18.297,20.886,24.324,29.105,36.209,43.313,43.313,50.417,57.521,64.625
199,2,-0.9819,20.9137,0.14153,13.04,14.666,16.291,18.318,20.914,24.356,29.138,36.225,43.312,43.312,50.399,57.486,64.573
200,2,-0.974,20.9401,0.14164,13.043,14.674,16.305,18.338,20.94,24.388,29.17,36.239,43.309,43.308,50.377,57.446,64.515
201,2,-0.9661,20.9656,0.14176,13.045,14.682,16.318,18.357,20.966,24.418,29.201,36.254,43.307,43.307,50.36,57.413,64.466
202,2,-0.9582,20.9901,0.14187,13.047,14.689,16.331,18.376,20.99,24.448,29.23,36.265,43.3,43.3,50.335,57.37,64.405
203,2,-0.9503,21.0138,0.14198,13.048,14.695,16.343,18.393,21.014,24.476,29.257,36.275,43.292,43.293,50.311,57.329,64.347
204,2,-0.9423,21.0367,0.14208,13.049,14.701,16.354,18.411,21.037,24.503,29.283,36.281,43.279,43.279,50.277,57.275,64.273
205,2,-0.9344,21.0587,0.14219,13.049,14.707,16.365,18.427,21.059,24.53,29.308,36.288,43.268,43.268,50.248,57.228,64.208
206,2,-0.9264,21.0801,0.1423,13.048,14.711,16.375,18.443,21.08,24.555,29.333,36.293,43.254,43.253,50.213,57.173,64.133
207,2,-0.9184,21.1007,0.1424,13.047,14.716,16.384,18.458,21.101,24.58,29.355,36.296,43.237,43.237,50.178,57.119,64.06
208,2,-0.9104,21.1206,0.1425,13.046,14.719,16.393,18.472,21.121,24.603,29.376,36.297,43.218,43.218,50.139,57.06,63.981
209,2,-0.9024,21.1399,0.14261,13.044,14.722,16.401,18.486,21.14,24.626,29.398,36.3,43.202,43.202,50.104,57.006,63.908
210,2,-0.8944,21.1586,0.14271,13.042,14.725,16.409,18.499,21.159,24.649,29.418,36.299,43.181,43.18,50.061,56.942,63.823
211,2,-0.8863,21.1768,0.14281,13.039,14.728,16.417,18.512,21.177,24.67,29.436,36.298,43.159,43.16,50.022,56.884,63.746
212,2,-0.8783,21.1944,0.14291,13.036,14.73,16.424,18.525,21.194,24.691,29.455,36.296,43.137,43.137,49.978,56.819,63.66
213,2,-0.8703,21.2116,0.14301,13.032,14.731,16.431,18.537,21.212,24.712,29.472,36.293,43.114,43.114,49.935,56.756,63.577
214,2,-0.8623,21.2282,0.14311,13.029,14.733,16.437,18.548,21.228,24.731,29.489,36.29,43.09,43.091,49.892,56.693,63.494
215,2,-0.8542,21.2444,0.1432,13.025,14.734,16.443,18.56,21.244,24.75,29.505,36.284,43.062,43.063,49.842,56.621,63.4
216,2,-0.8462,21.2603,0.1433,13.02,14.734,16.448,18.571,21.26,24.769,29.52,36.279,43.038,43.038,49.797,56.556,63.315
217,2,-0.8382,21.2757,0.1434,13.016,14.735,16.454,18.581,21.276,24.788,29.536,36.274,43.013,43.012,49.75,56.488,63.226
218,2,-0.8301,21.2908,0.14349,13.011,14.735,16.459,18.592,21.291,24.805,29.55,36.267,42.984,42.984,49.701,56.418,63.135
219,2,-0.8221,21.3055,0.14359,13.006,14.735,16.463,18.601,21.306,24.823,29.564,36.261,42.958,42.958,49.655,56.352,63.049
220,2,-0.814,21.32,0.14368,13.0,14.734,16.468,18.611,21.32,24.84,29.577,36.252,42.928,42.927,49.602,56.277,62.952
221,2,-0.806,21.3341,0.14377,12.995,14.734,16.473,18.621,21.334,24.856,29.589,36.244,42.899,42.899,49.554,56.209,62.864
222,2,-0.798,21.348,0.14386,12.989,14.733,16.477,18.63,21.348,24.873,29.602,36.235,42.869,42.868,49.501,56.134,62.767
223,2,-0.7899,21.3617,0.14396,12.983,14.732,16.48,18.639,21.362,24.889,29.614,36.228,42.841,42.842,49.456,56.07,62.684
224,2,-0.7819,21.3752,0.14405,12.977,14.731,16.484,18.648,21.375,24.905,29.626,36.219,42.812,42.812,49.405,55.998,62.591
225,2,-0.7738,21.3884,0.14414,12.971,14.729,16.488,18.657,21.388,24.92,29.637,36.209,42.781,42.781,49.353,55.925,62.497
226,2,-0.7658,21.4014,0.14423,12.964,14.728,16.491,18.665,21.401,24.935,29.649,36.2,42.751,42.751,49.302,55.853,62.404
227,2,-0.7577,21.4143,0.14432,12.958,14.726,16.494,18.673,21.414,24.951,29.659,36.19,42.72,42.721,49.252,55.783,62.314
228,2,-0.7496,21.4269,0.14441,12.951,14.724,16.497,18.681,21.427,24.965,29.67,36.179,42.689,42.688,49.197,55.706,62.215
