,age_months,sex,SD0,SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8
95,94,1,15.69,17.366,19.555,22.563,25.571,28.579,31.587,34.595,37.602999999999994
96,95,1,15.713,17.401,19.615,22.673,25.732,28.79,31.848,34.906,37.964
97,96,1,15.737,17.437,19.675,22.785,25.895,29.005,32.114999999999995,35.224999999999994,38.334999999999994
98,97,1,15.761,17.473,19.736,22.899,26.061,29.224,32.387,35.55,38.713
99,98,1,15.785,17.51,19.798,23.015,26.232,29.449,32.666000000000004,35.88300000000001,39.10000000000001
100,99,1,15.809,17.548,19.862,23.134,26.406,29.678,32.95,36.22200000000001,39.49400000000001
101,100,1,15.834,17.586,19.926,23.254,26.582,29.910000000000004,33.23800000000001,36.56600000000001,39.89400000000001
102,101,1,15.86,17.624,19.99,23.376,26.761,30.147000000000002,33.533,36.91900000000001,40.30500000000001
103,102,1,15.886,17.663,20.056,23.5,26.945,30.389,33.833,37.277,40.721
104,103,1,15.912,17.702,20.123,23.627,27.131,30.634999999999998,34.138999999999996,37.642999999999994,41.14699999999999
105,104,1,15.938,17.742,20.19,23.755,27.32,30.884999999999998,34.449999999999996,38.01499999999999,41.57999999999999
106,105,1,15.965,17.783,20.258,23.885,27.511,31.138,34.765,38.39200000000001,42.019000000000005
107,106,1,15.992,17.824,20.327,24.018,27.708,31.398999999999997,35.089999999999996,38.78099999999999,42.471999999999994
108,107,1,16.02,17.866,20.397,24.151,27.905,31.659000000000002,35.413000000000004,39.167,42.92100000000001
109,108,1,16.049,17.908,20.468,24.288,28.107,31.927,35.747,39.567,43.387
110,109,1,16.078,17.952,20.54,24.426,28.312,32.198,36.084,39.97,43.855999999999995
111,110,1,16.108,17.996,20.613,24.567,28.52,32.474000000000004,36.428,40.382000000000005,44.336
112,111,1,16.138,18.04,20.687,24.709,28.731,32.753,36.775,40.797,44.818999999999996
113,112,1,16.169,18.086,20.763,24.854,28.945,33.036,37.126999999999995,41.21799999999999,45.30899999999999
114,113,1,16.201,18.132,20.839,25.001,29.163,33.325,37.48700000000001,41.64900000000001,45.81100000000001
115,114,1,16.233,18.179,20.916,25.149,29.382,33.615,37.848,42.081,46.31400000000001
116,115,1,16.266,18.227,20.994,25.299,29.604,33.909,38.214,42.519,46.824
117,116,1,16.3,18.276,21.074,25.451,29.828,34.205,38.581999999999994,42.958999999999996,47.336
118,117,1,16.335,18.326,21.154,25.605,30.055,34.506,38.957,43.408,47.859
119,118,1,16.37,18.376,21.234,25.758,30.282,34.806,39.33,43.85399999999999,48.377999999999986
120,119,1,16.406,18.428,21.317,25.915,30.513,35.111000000000004,39.709,44.307,48.905
121,120,1,16.443,18.48,21.4,26.073,30.746,35.419,40.092,44.765,49.438
122,121,1,16.481,18.532,21.483,26.231,30.979,35.727000000000004,40.475,45.223,49.971000000000004
123,122,1,16.519,18.586,21.568,26.391,31.213,36.036,40.858999999999995,45.68199999999999,50.50499999999999
124,123,1,16.558,18.64,21.653,26.552,31.45,36.349000000000004,41.248000000000005,46.147000000000006,51.04600000000001
125,124,1,16.597,18.696,21.739,26.714,31.688,36.663,41.63799999999999,46.61299999999999,51.587999999999994
126,125,1,16.638,18.751,21.826,26.875,31.925,36.974000000000004,42.022999999999996,47.072,52.120999999999995
127,126,1,16.679,18.808,21.914,27.04,32.166,37.291999999999994,42.41799999999999,47.54399999999999,52.66999999999999
128,127,1,16.72,18.865,22.002,27.204,32.405,37.607,42.809000000000005,48.01100000000001,53.21300000000001
129,128,1,16.763,18.923,22.09,27.367,32.643,37.92,43.197,48.474000000000004,53.751000000000005
130,129,1,16.806,18.982,22.18,27.533,32.885,38.238,43.591,48.944,54.297000000000004
131,130,1,16.85,19.042,22.271,27.698,33.125,38.552,43.979,49.406,54.833
132,131,1,16.894,19.102,22.362,27.863,33.365,38.866,44.367000000000004,49.86800000000001,55.36900000000001
133,132,1,16.939,19.163,22.452,28.027,33.602,39.17699999999999,44.751999999999995,50.327,55.901999999999994
134,133,1,16.985,19.224,22.544,28.192,33.839,39.486999999999995,45.135,50.783,56.431
