age_months,sex,L,M,S,BMI_20,BMI_23,BMI_25,BMI_30,BMI_35,BMI_40,BMI_45,BMI_50,BMI_55,BMI_60,BMI_65,BMI_70
144,2,-1.435,17.665,0.14002,16.94471426,19.70165296,21.58510838,26.47342733,31.6569307,37.19034055,43.13868344,49.5808994,56.61470449,64.36340413,72.9857526,82.69067647
150,2,-1.421,18.033,0.14057,17.29475666,20.1196364,22.04800271,27.04504605,32.32808273,37.94579417,43.95550089,50.4258962,57.44066824,65.10345115,73.54477743,82.93210142
156,2,-1.412,18.400,0.14055,17.6466981,20.52759069,22.49146819,27.56845497,32.91418016,38.57047482,44.58600797,51.01822378,57.93586012,65.42229943,73.58012446,82.53744705
162,2,-1.407,18.755,0.13999,17.98999749,20.91312713,22.90170977,28.02566294,33.39197629,39.03475387,44.99305921,51.3121505,58.04505199,65.2545813,73.01600717,81.42059291
168,2,-1.408,19.090,0.13897,18.31674695,21.26856888,23.27218427,28.41729232,33.77714912,39.37970812,45.25644751,51.44317773,57.98104083,64.91776044,72.30922692,80.22153642
174,2,-1.412,19.401,0.13763,18.62242432,21.59128623,23.60134077,28.74340509,34.06903402,39.60049655,45.3623489,51.38194569,57.69004407,64.32152897,71.3162977,78.72035436
180,2,-1.419,19.683,0.13609,18.90163155,21.87776527,23.88752397,29.0093997,34.28407402,39.72935721,45.3643984,51.21003727,57.28918461,63.62725119,70.25264498,77.19736
186,2,-1.427,19.934,0.13449,19.15165235,22.12810438,24.13283504,29.22261732,34.43483772,39.78361649,45.28367459,50.95060258,56.80111386,62.85330255,69.12692056,75.64368637
192,2,-1.434,20.155,0.13299,19.37249221,22.34624902,24.34408638,29.39772914,34.54462469,39.79571856,45.16201727,50.65481471,56.28587412,62.06758973,68.01314195,74.13665537
198,2,-1.438,20.347,0.13177,19.56400635,22.53662662,24.52909281,29.55209068,34.64171424,39.80610044,45.05311927,50.39057054,55.8263231,61.36842303,67.02518469,72.80527293
204,2,-1.438,20.512,0.13096,19.72728397,22.70401914,24.69545999,29.70160803,34.75206505,39.85251197,45.00824411,50.2243332,55.50573392,60.85735964,66.28413983,71.79106632
210,2,-1.432,20.658,0.13050,19.87025774,22.85610907,24.84988176,29.8471673,34.86526232,39.90687877,44.97444688,50.07020518,55.19625756,60.35461183,65.5472071,70.77593412
216,2,-1.423,20.792,0.13033,20,23,25,30,35,40,45,50,55,60,65,70
