age_months,sex,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8,diff_SD2_SD3
15,1,-0.4852,16.4466,0.07936,12.143,13.129,14.115,15.214,16.447,17.833,19.4,21.181,22.962,24.743000000000006,26.524000000000008,28.30500000000001,30.086000000000013,1.7810000000000024
16,1,-0.5075,16.3369,0.07914,12.082,13.056,14.03,15.117,16.337,17.711,19.268,21.04,22.812,24.583999999999996,26.355999999999995,28.127999999999993,29.89999999999999,1.7719999999999985
17,1,-0.5279,16.2375,0.07893,12.028,12.99,13.953,15.029,16.238,17.601,19.147,20.911,22.675,24.439000000000007,26.20300000000001,27.967000000000013,29.731000000000016,1.764000000000003
18,1,-0.5472,16.1447,0.07874,11.976,12.929,13.881,14.947,16.145,17.498,19.035,20.791,22.548,24.303,26.059,27.815,29.571,1.7560000000000002
19,1,-0.5662,16.0564,0.07855,11.927,12.87,13.813,14.869,16.056,17.4,18.928,20.677,22.427,24.174999999999997,25.923999999999996,27.672999999999995,29.421999999999993,1.7489999999999988
20,1,-0.5836,15.9786,0.07837,11.885,12.819,13.753,14.8,15.979,17.313,18.833,20.576,22.319,24.062000000000005,25.805000000000007,27.54800000000001,29.29100000000001,1.743000000000002
21,1,-0.6002,15.9087,0.0782,11.847,12.774,13.7,14.738,15.909,17.235,18.748,20.486,22.223,23.962,25.7,27.438,29.176,1.7379999999999995
22,1,-0.6166,15.8444,0.07803,11.814,12.732,13.651,14.682,15.844,17.164,18.67,20.402,22.134,23.866,25.598,27.33,29.061999999999998,1.7319999999999993
23,1,-0.6318,15.7888,0.07787,11.786,12.697,13.609,14.633,15.789,17.101,18.602,20.329,22.057,23.783,25.51,27.237000000000002,28.964000000000002,1.7270000000000003
24,1,-0.6464,15.7388,0.07772,11.761,12.666,13.572,14.589,15.739,17.045,18.54,20.264,21.988,23.712,25.436,27.16,28.884,1.7240000000000002
25,1,-0.5863,15.9825,0.07791,11.909,12.839,13.769,14.81,15.982,17.309,18.82,20.55,22.281,24.01,25.740000000000002,27.470000000000002,29.200000000000003,1.7300000000000004
26,1,-0.5523,15.9443,0.07799,11.862,12.795,13.729,14.772,15.944,17.267,18.769,20.484,22.198,23.91400000000001,25.629000000000012,27.344000000000015,29.05900000000002,1.7150000000000034
27,1,-0.5196,15.9071,0.07808,11.815,12.752,13.689,14.735,15.907,17.227,18.721,20.42,22.12,23.818000000000005,25.517000000000007,27.216000000000008,28.91500000000001,1.6990000000000016
28,1,-0.4873,15.8694,0.07818,11.769,12.709,13.65,14.697,15.869,17.186,18.672,20.358,22.043,23.73,25.416,27.102,28.788,1.686
