,sex,age_months,SD0,SD0.5,SD1,SD1.5,SD2,SD2.5,SD3,SD3.5,SD4,SD4.5,SD5
87,1,110.5,16.2409,17.2782,18.6373,20.5461,24.5415,28.0077,30.9644,33.6774,36.2507,38.7351,41.159
88,1,111.5,16.2788,17.3255,18.6978,20.6265,24.6518,28.141,31.1174,33.8486,36.4391,38.9401,41.3801
89,1,112.5,16.3173,17.3734,18.7588,20.7072,24.7621,28.2744,31.2704,34.0197,36.6272,39.1447,41.6009
90,1,113.5,16.3564,17.4219,18.8202,20.7882,24.8725,28.4077,31.4233,34.1905,36.8151,39.349,41.8212
91,1,114.5,16.3961,17.4709,18.8822,20.8695,24.9829,28.541,31.5761,34.3612,37.0027,39.553,42.0412
92,1,115.5,16.4363,17.5205,18.9446,20.951,25.0934,28.6743,31.7287,34.5316,37.19,39.7566,42.2606
93,1,116.5,16.4772,17.5706,19.0074,21.0327,25.2039,28.8074,31.8811,34.7017,37.3769,39.9597,42.4796
94,1,117.5,16.5186,17.6212,19.0706,21.1145,25.3143,28.9403,32.0333,34.8715,37.5635,40.1624,42.6981
95,1,118.5,16.5606,17.6724,19.1342,21.1966,25.4247,29.0731,32.1853,35.041,37.7497,40.3647,42.916
96,1,119.5,16.6031,17.724,19.1982,21.2787,25.535,29.2058,32.3369,35.2102,37.9354,40.5664,43.1334
97,1,120.5,16.6461,17.7761,19.2626,21.361,25.6452,29.3382,32.4883,35.379,38.1207,40.7676,43.3502
98,1,121.5,16.6897,17.8286,19.3273,21.4433,25.7552,29.4703,32.6394,35.5473,38.3055,40.9683,43.5663
99,1,122.5,16.7338,17.8816,19.3923,21.5257,25.8651,29.6022,32.7901,35.7153,38.4898,41.1684,43.7818
100,1,123.5,16.7784,17.9351,19.4577,21.6082,25.9748,29.7339,32.9404,35.8828,38.6736,41.3679,43.9966
101,1,124.5,16.8235,17.9889,19.5233,21.6906,26.0842,29.8651,33.0903,36.0498,38.8568,41.5668,44.2108
102,1,125.5,16.8691,18.0432,19.5892,21.7731,26.1934,29.9961,33.2398,36.2163,39.0394,41.765,44.4242
