age_months,sex,14.5,18.5,20,25,30,35,40,45,50,55,60,65,70,78,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8,SD9,SD10,SD11,SD12,SD13,SD14,SD15,SD16,SD17,SD18,SD19,SD20,SD21,SD22,SD23,SD24,SD25,SD26,SD27,SD28,SD29,SD30,SD31,SD32,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,difference_SD1_SD2
76,1,11.49937688,13.71923085,14.4965369,16.87945314,18.94473162,20.79236452,22.87431394,24.9784229,27.08253186,29.18664081,31.29074977,33.39485873,35.49896768,38.86554201,-1.0801,15.354,0.08802,11.274,12.171,13.069,14.116,15.354,16.842,18.665,20.952,22.775,24.598,26.421,28.244,30.067,31.89,33.713,35.536,37.359,39.182,41.005,42.828,44.651,46.474,48.297,50.12,51.943,53.766,55.589,57.412,59.235,61.058,62.881,64.704,66.527,68.35,70.173,71.996,73.819,75.642,77.465,79.288,81.111,82.934,84.757,86.58,88.403,1.823
77,1,11.50837688,13.72847293,14.50776642,16.9018024,18.98764566,20.86113088,22.96324007,25.08697045,27.21070083,29.33443121,31.45816159,33.58189197,35.70562235,39.10359095,-1.1017,15.3679,0.08833,11.283,12.18,13.077,14.126,15.368,16.864,18.704,21.023,22.863,24.703,26.543,28.383,30.223,32.063,33.903,35.743,37.583,39.423,41.263,43.103,44.943,46.783,48.623,50.463,52.303,54.143,55.983,57.823,59.663,61.503,63.343,65.183,67.023,68.863,70.703,72.543,74.383,76.223,78.063,79.903,81.743,83.583,85.423,87.263,89.103,1.84
78,1,11.51737688,13.73809397,14.51899594,16.92615166,19.03268202,20.93282744,23.0551662,25.19851801,27.34186981,29.48522161,31.62857341,33.77192521,35.91527701,39.34463989,-1.123,15.3825,0.08865,11.292,12.189,13.086,14.136,15.382,16.888,18.745,21.097,22.954,24.811,26.668,28.525,30.382,32.239,34.096,35.953,37.81,39.667,41.524,43.381,45.238,47.095,48.952,50.809,52.666,54.523,56.38,58.237,60.094,61.951,63.808,65.665,67.522,69.379,71.236,73.093,74.95,76.807,78.664,80.521,82.378,84.235,86.092,87.949,89.806,1.857
79,1,11.52637688,13.74833606,14.53153285,16.95152147,19.07984069,21.00745419,23.15114681,25.31527424,27.47940166,29.64352909,31.80765651,33.97178393,36.13591136,39.59851524,-1.1441,15.3978,0.08898,11.301,12.198,13.095,14.147,15.398,16.913,18.788,21.174,23.049,24.924,26.799,28.674,30.549,32.424,34.299,36.174,38.049,39.924,41.799,43.674,45.549,47.424,49.299,51.174,53.049,54.924,56.799,58.674,60.549,62.424,64.299,66.174,68.049,69.924,71.799,73.674,75.549,77.424,79.299,81.174,83.049,84.924,86.799,88.674,90.549,1.875
80,1,11.53637688,13.7589571,14.54406975,16.97689127,19.12699935,21.08208095,23.24712742,25.43203047,27.61693352,29.80183657,31.98673961,34.17164266,36.35654571,39.85239058,-1.1649,15.4137,0.08931,11.311,12.208,13.105,14.158,15.414,16.938,18.831,21.251,23.144,25.037,26.93,28.823,30.716,32.609,34.502,36.395,38.288,40.181,42.074,43.967,45.86,47.753,49.646,51.539,53.432,55.325,57.218,59.111,61.004,62.897,64.79,66.683,68.576,70.469,72.362,74.255,76.148,78.041,79.934,81.827,83.72,85.613,87.506,89.399,91.292,1.893
81,1,11.54637688,13.77019918,14.55729927,17.00328163,19.17628034,21.15963791,23.34716251,25.55399538,27.76082825,29.96766113,32.174494,34.38132687,36.58815974,40.11909234,-1.1856,15.4302,0.08964,11.321,12.218,13.115,14.17,15.43,16.964,18.876,21.331,23.243,25.155,27.067,28.979,30.891,32.803,34.715,36.627,38.539,40.451,42.363,44.275,46.187,48.099,50.011,51.923,53.835,55.747,57.659,59.571,61.483,63.395,65.307,67.219,69.131,71.043,72.955,74.867,76.779,78.691,80.603,82.515,84.427,86.339,88.251,90.163,92.075,1.912
82,1,11.55637688,13.78244127,14.57152879,17.03067198,19.22668363,21.23912506,23.4491976,25.6779603,27.90672299,30.13548569,32.36424838,34.59301108,36.82177378,40.38779409,-1.206,15.4473,0.08998,11.331,12.228,13.126,14.183,15.447,16.991,18.922,21.413,23.344,25.275,27.206,29.137,31.068,32.999,34.93,36.861,38.792,40.723,42.654,44.585,46.516,48.447,50.378,52.309,54.24,56.171,58.102,60.033,61.964,63.895,65.826,67.757,69.688,71.619,73.55,75.481,77.412,79.343,81.274,83.205,85.136,87.067,88.998,90.929,92.86,1.931
83,1,11.56662814,13.79368335,14.58537307,17.05906233,19.27833156,21.32147261,23.55423269,25.80492521,28.05561773,30.30631025,32.55700277,34.80769529,37.05838781,40.65949584,-1.2261,15.465,0.09033,11.341,12.239,13.136,14.195,15.465,17.019,18.969,21.498,23.448,25.398,27.348,29.298,31.248,33.198,35.148,37.098,39.048,40.998,42.948,44.898,46.848,48.798,50.748,52.698,54.648,56.598,58.548,60.498,62.448,64.398,66.348,68.298,70.248,72.198,74.148,76.098,78.048,79.998,81.948,83.898,85.848,87.798,89.748,91.698,93.648,1.95
84,1,11.5768794,13.80692543,14.6006026,17.08747322,19.33097948,21.40482016,23.66132225,25.9350988,28.20887535,30.48265189,32.75642844,35.03020499,37.30398153,40.94202401,-1.246,15.4832,0.09068,11.351,12.25,13.148,14.209,15.483,17.047,19.017,21.584,23.554,25.524,27.494,29.464,31.434,33.404,35.374,37.344,39.314,41.284,43.254,45.224,47.194,49.164,51.134,53.104,55.074,57.044,59.014,60.984,62.954,64.924,66.894,68.864,70.834,72.804,74.774,76.744,78.714,80.684,82.654,84.624,86.594,88.564,90.534,92.504,94.474,1.97
85,1,11.5878794,13.81916752,14.61544688,17.11688412,19.38474972,21.49009792,23.77041182,26.06727239,28.36413296,30.66099354,32.95785411,35.25471468,37.55157525,41.22655217,-1.2656,15.5019,0.09103,11.362,12.261,13.159,14.222,15.502,17.076,19.066,21.672,23.662,25.652,27.642,29.632,31.622,33.612,35.602,37.592,39.582,41.572,43.562,45.552,47.542,49.532,51.522,53.512,55.502,57.492,59.482,61.472,63.462,65.452,67.442,69.432,71.422,73.412,75.402,77.392,79.382,81.372,83.362,85.352,87.342,89.332,91.322,93.312,95.302,1.99
86,1,11.5988794,13.8324096,14.63098378,17.14729501,19.43976458,21.57823606,23.88250139,26.20244598,28.52239058,30.84233518,33.16227978,35.48222438,37.80216898,41.51408033,-1.2849,15.521,0.09139,11.373,12.272,13.171,14.236,15.521,17.106,19.116,21.763,23.773,25.783,27.793,29.803,31.813,33.823,35.833,37.843,39.853,41.863,43.873,45.883,47.893,49.903,51.913,53.923,55.933,57.943,59.953,61.963,63.973,65.983,67.993,70.003,72.013,74.023,76.033,78.043,80.053,82.063,84.073,86.083,88.093,90.103,92.113,94.123,96.133,2.01
87,1,11.6098794,13.84565169,14.64682806,17.177747,19.49677945,21.66837421,23.99869991,26.34403693,28.68937396,31.03471099,33.38004801,35.72538504,38.07072207,41.82326131,-1.304,15.5407,0.09176,11.384,12.283,13.183,14.25,15.541,17.136,19.168,21.856,23.888,25.92,27.952,29.984,32.016,34.048,36.08,38.112,40.144,42.176,44.208,46.24,48.272,50.304,52.336,54.368,56.4,58.432,60.464,62.496,64.528,66.56,68.592,70.624,72.656,74.688,76.72,78.752,80.784,82.816,84.848,86.88,88.912,90.944,92.976,95.008,97.04,2.032
