,age_months,sex,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8,SD9,SD10,SD11,SD12,SD13,SD14,SD15,SD16,SD17,SD18,SD19,SD20,SD21,SD22,SD23,SD24,SD25,SD26,SD27,SD28,SD29,SD30,SD31,SD32,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,distance_SBMI
10,10,1,-0.3502,17.0543,0.08069,12.46,13.518,14.577,15.75,17.054,18.509,20.136,21.963,23.59,25.217,26.843999999999998,28.470999999999997,30.097999999999995,31.724999999999994,33.35199999999999,34.97899999999999,36.605999999999995,38.23299999999999,39.859999999999985,41.48699999999999,43.11399999999999,44.740999999999985,46.36799999999998,47.99499999999998,49.621999999999986,51.24899999999998,52.875999999999976,54.50299999999998,56.129999999999974,57.75699999999998,59.38399999999998,61.010999999999974,62.63799999999997,64.26499999999997,65.89199999999997,67.51899999999998,69.14599999999996,70.77299999999997,72.39999999999998,74.02699999999996,75.65399999999997,77.28099999999996,78.90799999999996,80.53499999999997,82.16199999999995,1.626999999999999
11,11,1,-0.382,16.9273,0.08038,12.398,13.44,14.482,15.639,16.927,18.367,19.982,21.8,23.415,25.029999999999998,26.644999999999996,28.259999999999994,29.874999999999993,31.48999999999999,33.10499999999999,34.719999999999985,36.33499999999999,37.94999999999999,39.56499999999998,41.17999999999998,42.79499999999998,44.40999999999998,46.02499999999998,47.63999999999997,49.254999999999974,50.869999999999976,52.48499999999997,54.099999999999966,55.71499999999996,57.32999999999997,58.944999999999965,60.55999999999996,62.174999999999955,63.789999999999964,65.40499999999996,67.01999999999995,68.63499999999995,70.24999999999996,71.86499999999995,73.47999999999995,75.09499999999994,76.70999999999995,78.32499999999995,79.93999999999994,81.55499999999994,1.6149999999999984
12,12,1,-0.4104,16.8033,0.0801,12.335,13.362,14.388,15.53,16.803,18.229,19.832,21.64,23.243000000000002,24.846000000000004,26.449000000000005,28.052000000000007,29.65500000000001,31.25800000000001,32.86100000000001,34.46400000000001,36.067000000000014,37.670000000000016,39.27300000000002,40.87600000000002,42.47900000000002,44.08200000000002,45.685000000000024,47.288000000000025,48.89100000000003,50.49400000000003,52.09700000000003,53.70000000000003,55.30300000000003,56.906000000000034,58.509000000000036,60.11200000000004,61.71500000000004,63.31800000000004,64.92100000000005,66.52400000000004,68.12700000000004,69.73000000000005,71.33300000000006,72.93600000000005,74.53900000000004,76.14200000000005,77.74500000000006,79.34800000000006,80.95100000000005,1.6030000000000015
13,13,1,-0.4376,16.6771,0.07983,12.269,13.28,14.292,15.419,16.677,18.089,19.679,21.478,23.068,24.658,26.248,27.838,29.428,31.018,32.608000000000004,34.198,35.788,37.378,38.968,40.558,42.147999999999996,43.738,45.328,46.918,48.507999999999996,50.098,51.688,53.278,54.868,56.458,58.047999999999995,59.638,61.228,62.818,64.40799999999999,65.99799999999999,67.588,69.178,70.768,72.358,73.94800000000001,75.538,77.12799999999999,78.71799999999999,80.30799999999999,1.5899999999999999
14,14,1,-0.4621,16.5591,0.07959,12.205,13.203,14.201,15.314,16.559,17.958,19.536,21.326,22.904000000000003,24.482000000000006,26.06000000000001,27.638000000000012,29.216000000000015,30.79400000000002,32.37200000000002,33.950000000000024,35.52800000000003,37.10600000000003,38.68400000000003,40.262000000000036,41.84000000000004,43.41800000000004,44.996000000000045,46.57400000000005,48.15200000000005,49.730000000000054,51.30800000000006,52.88600000000006,54.46400000000006,56.042000000000066,57.62000000000007,59.19800000000007,60.776000000000074,62.35400000000008,63.93200000000008,65.51000000000008,67.08800000000008,68.66600000000008,70.24400000000009,71.82200000000009,73.40000000000009,74.9780000000001,76.5560000000001,78.1340000000001,79.7120000000001,1.578000000000003
15,15,1,-0.4852,16.4466,0.07936,12.143,13.129,14.115,15.214,16.447,17.833,19.4,21.181,22.748,24.315,25.882,27.449,29.016000000000002,30.583000000000002,32.150000000000006,33.717,35.284000000000006,36.851,38.418000000000006,39.985,41.55200000000001,43.119,44.68600000000001,46.253,47.82000000000001,49.387,50.95400000000001,52.521,54.08800000000001,55.655,57.22200000000001,58.789,60.35600000000001,61.923,63.49000000000001,65.057,66.62400000000001,68.191,69.75800000000001,71.325,72.89200000000001,74.459,76.02600000000001,77.593,79.16000000000001,1.5670000000000002
16,16,1,-0.5075,16.3369,0.07914,12.082,13.056,14.03,15.117,16.337,17.711,19.268,21.04,22.597,24.154000000000003,25.711000000000006,27.268000000000008,28.82500000000001,30.382000000000012,31.939000000000014,33.496000000000016,35.05300000000002,36.61000000000002,38.16700000000002,39.724000000000025,41.28100000000003,42.83800000000003,44.39500000000003,45.952000000000034,47.509000000000036,49.06600000000004,50.62300000000004,52.18000000000004,53.737000000000045,55.29400000000005,56.85100000000005,58.40800000000005,59.96500000000005,61.522000000000055,63.07900000000006,64.63600000000005,66.19300000000007,67.75000000000006,69.30700000000007,70.86400000000006,72.42100000000008,73.97800000000007,75.53500000000008,77.09200000000007,78.64900000000009,1.5570000000000022
17,17,1,-0.5279,16.2375,0.07893,12.028,12.99,13.953,15.029,16.238,17.601,19.147,20.911,22.457,24.003,25.549,27.095,28.641,30.186999999999998,31.732999999999997,33.278999999999996,34.824999999999996,36.370999999999995,37.916999999999994,39.462999999999994,41.00899999999999,42.55499999999999,44.10099999999999,45.64699999999999,47.19299999999999,48.73899999999999,50.28499999999999,51.83099999999999,53.37699999999999,54.92299999999999,56.46899999999999,58.014999999999986,59.560999999999986,61.106999999999985,62.652999999999984,64.19899999999998,65.74499999999998,67.29099999999998,68.83699999999999,70.38299999999998,71.92899999999997,73.47499999999998,75.02099999999999,76.56699999999998,78.11299999999997,1.5459999999999994
18,18,1,-0.5472,16.1447,0.07874,11.976,12.929,13.881,14.947,16.145,17.498,19.035,20.791,22.328,23.865,25.401999999999997,26.938999999999997,28.475999999999996,30.012999999999995,31.549999999999994,33.08699999999999,34.623999999999995,36.16099999999999,37.69799999999999,39.234999999999985,40.77199999999999,42.30899999999998,43.84599999999999,45.38299999999998,46.91999999999999,48.45699999999998,49.993999999999986,51.53099999999998,53.067999999999984,54.604999999999976,56.14199999999998,57.678999999999974,59.21599999999998,60.75299999999997,62.28999999999998,63.82699999999997,65.36399999999998,66.90099999999997,68.43799999999997,69.97499999999997,71.51199999999997,73.04899999999996,74.58599999999997,76.12299999999996,77.65999999999997,1.536999999999999
19,19,1,-0.5662,16.0564,0.07855,11.927,12.87,13.813,14.869,16.056,17.4,18.928,20.677,22.205000000000002,23.733000000000004,25.261000000000006,26.78900000000001,28.31700000000001,29.845000000000013,31.373000000000015,32.90100000000002,34.429000000000016,35.95700000000002,37.48500000000003,39.01300000000003,40.541000000000025,42.06900000000003,43.59700000000004,45.125000000000036,46.653000000000034,48.18100000000004,49.709000000000046,51.237000000000045,52.76500000000005,54.29300000000005,55.82100000000005,57.34900000000005,58.87700000000006,60.40500000000006,61.93300000000006,63.46100000000006,64.98900000000006,66.51700000000007,68.04500000000007,69.57300000000006,71.10100000000008,72.62900000000008,74.15700000000007,75.68500000000009,77.21300000000008,1.5280000000000022
